DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1974,8545,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1975,8343,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1976,8047,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1977,7259,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1978,7157,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1979,7554,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1980,7481,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1981,7890,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1982,8142,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1983,7825,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1984,7424,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1985,7546,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1986,7468,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1987,7279,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1988,7442,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1989,7470,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1990,7612,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1991,7925,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1992,7932,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1993,8266,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1994,7798,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1995,7603,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1996,7436,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1997,7318,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1998,6860,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,1999,6697,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2000,6587,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2001,6611,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2002,6594,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2003,6570,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2004,6780,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2005,6482,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2006,6526,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2007,6504,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2008,6739,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2009,6475,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2010,6414,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2011,6651,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2012,6389,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2013,6629,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2014,6666,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2015,6985,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2016,6980,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2017,7040,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2018,7219,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2019,7061,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2020,6932,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2021,6921,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2022,6611,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AT,2023,6473,p
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2005,11754,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2006,11850,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2007,11482,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2008,12221,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2009,12411,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2010,13042,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2012,13857,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2013,13258,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2014,13993,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2015,13938,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2016,12717,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2017,12179,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2018,11938,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2019,12369,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2020,11279,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,AZ,2021,10812,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2003,2917,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2004,2806,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2005,2271,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2006,2688,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2007,2806,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2008,2932,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2009,2675,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2010,2870,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2012,2763,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2022,1544,p
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BA,2023,1673,p
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1960,13050,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1961,13427,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1962,13039,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1963,13096,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1964,13398,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1965,13305,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1966,12458,
